attempt_id,player_id,mission_id,attempt_date,difficulty_selected,actual_playtime_mins,completed,deaths_count,used_stealth,outcome,attempt_number
86,3,9,2024-03-21,Easy,51.5,1,2,0,Completed,1
87,3,10,2024-03-21,Easy,25.4,0,0,0,Failed,1
88,3,10,2024-04-21,Easy,43.5,1,1,0,Completed,2
89,3,11,2024-04-28,Easy,41.4,1,1,0,Completed,1
90,3,12,2024-06-28,Easy,29.2,0,2,0,Abandoned,1
91,3,13,2024-05-08,Easy,13.1,1,2,0,Completed,1
92,3,14,2024-03-20,Easy,17.0,1,1,0,Completed,1
93,3,15,2024-06-22,Easy,11.6,1,0,0,Completed,1
94,3,16,2024-06-20,Easy,15.9,1,0,0,Completed,1
95,3,17,2024-05-04,Easy,26.9,1,0,0,Completed,1
96,3,18,2024-05-11,Easy,34.8,1,0,0,Completed,1
97,3,19,2024-06-06,Easy,11.5,1,0,0,Completed,1
98,3,20,2024-04-15,Easy,11.6,1,0,0,Completed,1
99,3,21,2024-06-08,Easy,16.4,1,2,0,Completed,1
100,3,22,2024-05-18,Easy,10.6,1,0,0,Completed,1
101,3,23,2024-04-18,Easy,12.5,1,0,0,Completed,1
102,3,24,2024-03-31,Easy,12.9,1,0,1,Completed,1
103,3,25,2024-06-30,Easy,13.7,1,0,0,Completed,1
104,3,26,2024-04-01,Easy,9.6,1,0,0,Completed,1
105,3,27,2024-03-23,Easy,12.6,1,1,0,Completed,1
106,3,28,2024-06-11,Easy,14.2,1,1,0,Completed,1
107,3,28,2024-06-29,Easy,19.1,1,0,0,Completed,2
108,3,29,2024-03-31,Easy,23.2,1,1,0,Completed,1
109,3,29,2024-06-09,Easy,14.3,1,0,1,Completed,2
110,3,30,2024-06-03,Easy,16.2,1,1,0,Completed,1
111,3,31,2024-06-14,Easy,7.1,1,1,0,Completed,1
112,3,32,2024-03-19,Easy,11.3,1,0,1,Completed,1
113,3,33,2024-03-21,Easy,7.7,1,0,0,Completed,1
114,3,34,2024-06-06,Easy,10.5,1,0,0,Completed,1
115,3,35,2024-04-05,Easy,8.3,1,0,0,Completed,1
116,4,1,2024-06-17,Easy,14.3,1,0,1,Completed,1
117,4,2,2024-04-20,Easy,32.0,1,0,1,Completed,1
118,4,3,2024-03-21,Easy,29.4,1,1,1,Completed,1
119,4,4,2024-06-02,Easy,38.6,1,0,1,Completed,1
120,4,4,2024-05-21,Easy,41.6,1,0,1,Completed,2
121,4,5,2024-03-27,Easy,45.8,1,2,0,Completed,1
122,4,6,2024-06-10,Easy,23.0,1,0,1,Completed,1
123,4,7,2024-06-17,Easy,27.8,1,0,0,Completed,1
124,4,13,2024-05-15,Easy,14.1,1,1,1,Completed,1
125,4,14,2024-06-05,Easy,16.7,1,2,1,Completed,1
126,4,15,2024-05-08,Easy,16.4,1,0,0,Completed,1
127,4,16,2024-06-30,Easy,24.2,1,0,0,Completed,1
128,4,17,2024-05-20,Easy,19.9,1,1,1,Completed,1
129,4,19,2024-05-12,Easy,9.9,1,0,1,Completed,1
130,4,20,2024-03-22,Easy,16.1,1,0,1,Completed,1
131,4,21,2024-05-23,Easy,12.4,1,0,1,Completed,1
132,4,22,2024-04-17,Easy,8.9,1,0,1,Completed,1
133,4,23,2024-05-30,Easy,12.6,1,0,0,Completed,1
134,4,24,2024-05-15,Easy,19.8,1,0,0,Completed,1
135,4,24,2024-06-06,Easy,22.7,1,1,0,Completed,2
136,4,25,2024-04-02,Easy,18.4,1,1,1,Completed,1
137,4,26,2024-06-21,Easy,8.7,1,0,1,Completed,1
138,4,27,2024-06-10,Easy,12.4,1,0,1,Completed,1
139,4,28,2024-03-20,Easy,12.4,1,0,0,Completed,1
140,4,30,2024-03-30,Easy,17.2,1,0,1,Completed,1
141,4,31,2024-06-24,Easy,9.1,1,0,0,Completed,1
142,4,32,2024-05-11,Easy,10.1,1,2,1,Completed,1
143,4,33,2024-05-15,Easy,8.2,1,0,0,Completed,1
144,4,34,2024-04-29,Easy,6.8,1,1,1,Completed,1
145,4,35,2024-03-24,Easy,9.4,1,0,1,Completed,1
146,5,1,2024-05-08,Normal,29.2,1,2,1,Completed,1
147,5,2,2024-05-13,Normal,53.0,1,2,0,Completed,1
148,5,3,2024-04-15,Normal,16.8,0,4,0,Failed,1
149,5,4,2024-06-05,Normal,57.6,1,1,1,Completed,1
150,5,5,2024-05-05,Normal,21.5,0,3,0,Failed,1
151,5,6,2024-04-03,Normal,32.5,1,0,1,Completed,1
152,5,7,2024-05-10,Normal,46.5,1,1,1,Completed,1
153,5,13,2024-05-28,Normal,30.6,1,0,1,Completed,1
154,5,14,2024-06-16,Normal,27.0,1,0,0,Completed,1
155,5,15,2024-04-22,Normal,22.1,1,0,0,Completed,1
156,5,16,2024-05-29,Normal,23.4,1,2,0,Completed,1
157,5,17,2024-03-19,Normal,28.9,1,2,0,Completed,1
158,5,19,2024-06-10,Normal,15.4,1,0,1,Completed,1
159,5,20,2024-06-03,Normal,8.8,0,1,1,Failed,1
160,5,21,2024-06-08,Normal,16.7,0,1,0,Abandoned,1
161,5,22,2024-03-24,Normal,12.7,1,0,1,Completed,1
162,5,23,2024-05-27,Normal,12.6,1,0,1,Completed,1
163,5,24,2024-05-07,Normal,28.7,1,0,1,Completed,1
164,5,25,2024-06-26,Normal,15.3,1,0,0,Completed,1
165,5,26,2024-05-11,Normal,11.8,1,1,1,Completed,1
166,5,27,2024-03-05,Normal,10.1,0,0,1,Failed,1
167,5,28,2024-03-27,Normal,22.4,1,6,0,Completed,1
168,5,30,2024-06-16,Normal,19.4,1,1,1,Completed,1
169,5,31,2024-06-01,Normal,12.2,1,0,0,Completed,1
170,5,32,2024-03-16,Normal,16.5,1,9,0,Completed,1
171,5,32,2024-03-25,Normal,18.1,1,2,0,Completed,2
172,5,33,2024-03-07,Normal,6.4,1,2,1,Completed,1
173,5,34,2024-02-27,Normal,7.5,0,0,0,Failed,1
174,5,35,2024-03-15,Normal,8.8,1,3,0,Completed,1
175,6,1,2024-06-25,Hard,29.7,1,0,0,Completed,1
176,6,2,2024-04-11,Hard,23.0,0,0,1,Failed,1
177,6,3,2024-03-21,Hard,59.6,1,6,1,Completed,1
178,6,4,2024-02-18,Hard,66.9,1,6,0,Completed,1
179,6,5,2024-06-30,Hard,62.4,1,0,1,Completed,1
180,6,5,2024-02-14,Hard,74.6,1,1,0,Completed,2
181,6,6,2024-05-03,Hard,41.6,1,4,0,Completed,1
182,6,7,2024-02-25,Hard,56.9,1,1,0,Completed,1
183,6,13,2024-05-07,Hard,38.2,1,4,0,Completed,1
184,6,14,2024-03-02,Hard,16.7,0,8,0,Abandoned,1
185,6,15,2024-04-26,Hard,30.5,1,0,0,Completed,1
186,6,16,2024-06-04,Hard,19.6,0,0,0,Abandoned,1
187,6,17,2024-06-10,Hard,37.8,1,0,1,Completed,1
188,6,22,2024-04-16,Hard,8.3,0,4,0,Abandoned,1
189,6,24,2024-06-21,Hard,15.2,0,1,0,Abandoned,1
190,6,30,2024-06-23,Hard,30.2,1,0,0,Completed,1
191,6,31,2024-05-24,Hard,16.7,1,1,0,Completed,1
192,6,32,2024-01-27,Hard,23.7,1,5,1,Completed,1
193,6,33,2024-06-21,Hard,2.9,0,4,0,Abandoned,1
194,6,34,2024-01-22,Hard,13.0,1,3,0,Completed,1
195,6,35,2024-01-25,Hard,12.4,1,0,1,Completed,1
196,7,1,2024-06-29,Very Hard,14.8,0,2,0,Abandoned,1
197,7,2,2024-06-01,Very Hard,86.0,1,13,1,Completed,1
198,7,3,2024-05-04,Very Hard,15.3,0,6,0,Abandoned,1
199,7,4,2024-06-25,Very Hard,85.9,1,8,0,Completed,1
200,7,5,2024-06-10,Very Hard,79.0,1,10,1,Completed,1
201,7,6,2024-06-26,Very Hard,20.7,0,7,1,Abandoned,1
202,7,7,2024-06-24,Very Hard,47.2,0,0,0,Abandoned,1
203,7,8,2024-05-15,Very Hard,47.3,0,14,0,Failed,1
204,7,8,2024-05-22,Very Hard,72.4,1,16,1,Completed,2
205,7,8,2024-06-11,Very Hard,88.9,1,6,0,Completed,3
206,7,9,2024-04-24,Very Hard,102.1,1,41,0,Completed,1
207,7,10,2024-04-02,Very Hard,80.7,1,0,0,Completed,1
208,7,10,2024-04-12,Very Hard,80.7,1,3,0,Completed,2
209,7,11,2024-06-14,Very Hard,40.7,0,2,1,Abandoned,1
210,7,12,2024-06-26,Very Hard,19.2,0,0,0,Abandoned,1
211,7,13,2024-05-07,Very Hard,28.4,1,9,0,Completed,1
212,7,14,2024-04-05,Very Hard,39.9,1,0,1,Completed,1
213,7,15,2024-04-28,Very Hard,27.8,1,0,0,Completed,1
214,7,16,2024-06-17,Very Hard,21.1,0,2,0,Abandoned,1
215,7,17,2024-05-11,Very Hard,63.2,1,11,0,Completed,1
216,7,18,2024-04-23,Very Hard,41.1,1,9,0,Completed,1
217,7,19,2024-04-22,Very Hard,10.4,0,1,0,Failed,1
218,7,20,2024-05-24,Very Hard,39.3,1,0,0,Completed,1
219,7,21,2024-06-07,Very Hard,32.7,1,1,0,Completed,1
220,7,22,2024-06-13,Very Hard,9.0,0,1,1,Failed,1
221,7,23,2024-06-09,Very Hard,15.7,1,0,0,Completed,1
222,7,24,2024-04-07,Very Hard,29.9,1,1,0,Completed,1
223,7,25,2024-06-14,Very Hard,33.0,1,4,0,Completed,1
224,7,26,2024-05-07,Very Hard,28.3,1,1,0,Completed,1
225,7,27,2024-04-04,Very Hard,21.2,1,2,0,Completed,1
226,7,28,2024-05-11,Very Hard,17.9,0,1,0,Abandoned,1
227,7,29,2024-03-31,Very Hard,39.1,1,13,1,Completed,1
228,7,30,2024-04-23,Very Hard,21.5,1,0,0,Completed,1
229,7,31,2024-04-24,Very Hard,20.8,1,0,0,Completed,1
230,7,32,2024-06-08,Very Hard,30.8,1,9,0,Completed,1
231,7,32,2024-04-11,Very Hard,20.4,1,1,0,Completed,2
232,7,33,2024-04-13,Very Hard,14.8,1,0,0,Completed,1
233,7,34,2024-05-16,Very Hard,16.5,1,2,0,Completed,1
234,7,35,2024-04-07,Very Hard,17.2,0,8,0,Abandoned,1
235,8,1,2024-05-06,Hard,41.4,1,0,1,Completed,1
236,8,2,2024-01-02,Hard,49.7,1,2,0,Completed,1
237,8,3,2024-05-31,Hard,21.5,0,0,1,Abandoned,1
238,8,4,2024-04-20,Hard,63.1,0,1,1,Abandoned,1
239,8,5,2024-03-26,Hard,48.3,1,2,0,Completed,1
240,8,6,2024-06-16,Hard,39.4,1,1,1,Completed,1
241,8,7,2024-06-02,Hard,60.0,1,1,1,Completed,1
242,8,8,2024-03-09,Hard,67.0,1,1,0,Completed,1
243,8,9,2024-01-12,Hard,89.2,1,2,1,Completed,1
244,8,10,2024-03-17,Hard,50.6,1,0,1,Completed,1
245,8,10,2024-03-28,Hard,59.3,1,2,0,Completed,2
246,8,11,2024-04-28,Hard,46.1,1,0,0,Completed,1
247,8,11,2024-01-09,Hard,58.4,1,7,1,Completed,2
248,8,12,2024-03-01,Hard,96.6,1,2,0,Completed,1
249,8,13,2024-05-09,Hard,31.4,1,0,0,Completed,1
250,8,14,2024-04-03,Hard,20.5,0,4,1,Failed,1
251,8,15,2024-02-18,Hard,10.1,0,5,0,Abandoned,1
252,8,16,2024-05-11,Hard,38.7,1,1,1,Completed,1
253,8,17,2024-02-13,Hard,18.4,0,1,0,Failed,1
254,8,18,2024-06-07,Hard,26.7,0,1,0,Failed,1
255,8,19,2024-03-14,Hard,11.7,0,0,0,Failed,1
256,8,20,2024-03-15,Hard,28.0,1,0,1,Completed,1
257,8,21,2024-03-31,Hard,28.6,1,6,1,Completed,1
258,8,22,2024-05-15,Hard,9.8,0,0,1,Failed,1
259,8,23,2024-06-15,Hard,4.3,0,1,1,Abandoned,1
260,8,24,2024-02-12,Hard,24.2,1,12,1,Completed,1
261,8,25,2024-05-02,Hard,26.5,1,0,1,Completed,1
262,8,26,2024-01-19,Hard,16.8,1,2,1,Completed,1
263,8,27,2024-02-12,Hard,20.4,1,3,1,Completed,1
264,8,28,2024-05-24,Hard,25.8,1,6,1,Completed,1
265,8,28,2024-02-11,Hard,23.8,1,1,0,Completed,2
266,8,29,2024-05-15,Hard,24.7,1,2,0,Completed,1
267,8,29,2024-06-18,Hard,22.5,0,1,0,Failed,2
268,8,30,2024-02-05,Hard,15.7,0,5,1,Abandoned,1
269,8,31,2024-03-31,Hard,9.8,0,0,1,Abandoned,1
270,8,32,2024-06-09,Hard,24.9,1,0,0,Completed,1
271,8,33,2024-03-25,Hard,4.0,0,0,0,Abandoned,1
272,8,34,2024-04-15,Hard,12.3,1,3,1,Completed,1
273,8,35,2024-06-02,Hard,11.1,1,0,1,Completed,1
274,9,1,2024-04-29,Normal,30.9,1,0,0,Completed,1
275,9,2,2024-06-03,Normal,36.5,1,2,1,Completed,1
276,9,3,2024-04-10,Normal,37.3,1,0,1,Completed,1
277,9,4,2024-06-25,Normal,52.8,1,0,1,Completed,1
278,9,5,2024-03-19,Normal,42.4,1,2,1,Completed,1
279,9,5,2024-04-01,Normal,34.1,1,0,1,Completed,2
280,9,6,2024-06-07,Normal,23.2,1,1,1,Completed,1
281,9,7,2024-03-23,Normal,40.7,1,1,0,Completed,1
282,9,8,2024-04-26,Normal,45.2,1,7,0,Completed,1
283,9,9,2024-03-18,Normal,42.2,1,0,0,Completed,1
284,9,9,2024-03-31,Normal,72.8,1,7,0,Completed,2
285,9,9,2024-05-29,Normal,59.6,1,8,1,Completed,3
286,9,10,2024-04-06,Normal,49.6,1,8,1,Completed,1
287,9,10,2024-04-06,Normal,43.2,1,0,1,Completed,2
288,9,11,2024-03-18,Normal,51.2,1,3,1,Completed,1
289,9,12,2024-04-11,Normal,56.9,0,7,0,Failed,1
290,9,13,2024-04-21,Normal,18.8,0,1,0,Abandoned,1
291,9,14,2024-03-18,Normal,31.1,1,1,0,Completed,1
292,9,15,2024-05-30,Normal,20.6,1,0,1,Completed,1
293,9,16,2024-03-12,Normal,26.9,1,2,1,Completed,1
294,9,17,2024-04-26,Normal,24.1,0,2,1,Failed,1
295,9,18,2024-06-10,Normal,34.8,1,3,1,Completed,1
296,9,19,2024-04-14,Normal,20.5,1,1,1,Completed,1
297,9,20,2024-06-22,Normal,25.2,1,0,0,Completed,1
298,9,21,2024-04-10,Normal,13.8,1,3,1,Completed,1
299,9,22,2024-06-07,Normal,11.8,1,4,0,Completed,1
300,9,23,2024-05-05,Normal,13.7,1,0,1,Completed,1
301,9,24,2024-03-28,Normal,23.5,1,9,1,Completed,1
302,9,25,2024-05-13,Normal,8.2,0,2,1,Failed,1
303,9,26,2024-04-01,Normal,17.1,1,0,0,Completed,1
304,9,27,2024-06-28,Normal,15.2,1,1,0,Completed,1
305,9,28,2024-05-05,Normal,27.6,1,1,1,Completed,1
306,9,29,2024-06-15,Normal,25.8,1,0,0,Completed,1
307,9,30,2024-03-29,Normal,23.5,1,2,0,Completed,1
308,9,31,2024-04-15,Normal,8.6,1,0,1,Completed,1
309,9,32,2024-03-29,Normal,12.0,1,0,1,Completed,1
310,9,33,2024-04-30,Normal,6.0,1,1,0,Completed,1
311,9,34,2024-05-01,Normal,7.0,0,1,0,Abandoned,1
312,9,35,2024-06-16,Normal,6.3,0,0,0,Abandoned,1
313,10,1,2024-04-22,Easy,22.9,1,0,0,Completed,1
314,10,2,2023-12-31,Easy,23.6,1,0,0,Completed,1
315,10,3,2024-04-19,Easy,20.3,1,1,0,Completed,1
316,10,4,2023-12-05,Easy,31.7,1,1,0,Completed,1
317,10,4,2023-11-01,Easy,42.8,1,3,0,Completed,2
318,10,5,2024-06-15,Easy,40.9,1,0,0,Completed,1
319,10,5,2024-02-15,Easy,45.3,1,2,0,Completed,2
320,10,6,2024-02-03,Easy,21.3,1,2,0,Completed,1
321,10,7,2024-06-07,Easy,32.2,1,1,0,Completed,1
322,10,8,2024-06-23,Easy,43.8,1,0,0,Completed,1
323,10,8,2024-03-02,Easy,54.2,1,0,0,Completed,2
324,10,9,2023-12-11,Easy,45.0,1,1,0,Completed,1
325,10,9,2024-03-05,Easy,35.9,1,0,0,Completed,2
326,10,9,2023-11-13,Easy,43.0,1,3,0,Completed,3
327,10,10,2024-02-18,Easy,29.5,1,5,0,Completed,1
328,10,11,2024-02-02,Easy,39.4,1,0,0,Completed,1
329,10,12,2023-10-31,Easy,44.0,1,1,0,Completed,1
330,10,12,2023-11-08,Easy,60.4,1,0,0,Completed,2
331,10,12,2024-05-10,Easy,53.1,1,0,0,Completed,3
332,10,13,2024-01-23,Easy,17.6,1,1,0,Completed,1
333,10,14,2024-06-25,Easy,24.9,1,6,0,Completed,1
334,10,15,2024-06-08,Easy,13.6,1,0,0,Completed,1
335,10,16,2024-05-01,Easy,15.3,1,0,0,Completed,1
336,10,17,2024-06-28,Easy,17.3,1,0,0,Completed,1
337,10,18,2024-02-27,Easy,26.0,1,1,0,Completed,1
338,10,19,2024-06-26,Easy,13.3,1,0,0,Completed,1
339,10,20,2024-05-22,Easy,11.4,1,0,1,Completed,1
340,10,21,2024-05-05,Easy,16.1,1,0,0,Completed,1
341,10,22,2024-06-23,Easy,9.0,1,0,0,Completed,1
342,10,23,2024-02-04,Easy,10.6,1,0,1,Completed,1
343,10,24,2024-06-04,Easy,13.9,1,0,0,Completed,1
344,10,24,2024-05-29,Easy,12.7,1,0,1,Completed,2
345,10,25,2024-02-20,Easy,14.9,1,1,0,Completed,1
346,10,26,2023-12-11,Easy,11.2,1,0,0,Completed,1
347,10,27,2024-04-29,Easy,14.1,1,0,0,Completed,1
348,10,28,2024-04-30,Easy,14.4,1,0,0,Completed,1
349,10,28,2023-12-02,Easy,15.9,1,2,1,Completed,2
350,10,29,2023-12-25,Easy,20.1,1,1,0,Completed,1
351,10,30,2024-02-02,Easy,16.8,1,0,0,Completed,1
352,10,31,2024-05-16,Easy,9.2,1,0,0,Completed,1
353,10,32,2023-11-20,Easy,14.3,1,0,1,Completed,1
354,10,33,2024-06-26,Easy,5.8,1,0,0,Completed,1
355,10,34,2024-03-24,Easy,8.9,1,1,0,Completed,1
356,10,35,2024-02-05,Easy,7.1,1,0,0,Completed,1
357,11,1,2024-06-24,Normal,15.0,0,1,0,Failed,1
358,11,2,2024-06-06,Normal,32.8,1,0,0,Completed,1
359,11,3,2024-06-15,Normal,47.7,1,3,0,Completed,1
360,11,4,2024-05-19,Normal,61.8,1,5,0,Completed,1
361,11,4,2024-06-22,Normal,47.5,1,13,1,Completed,2
362,11,5,2024-05-30,Normal,23.1,0,11,0,Failed,1
363,11,6,2024-05-28,Normal,40.7,1,0,0,Completed,1
364,11,7,2024-05-18,Normal,22.8,0,4,0,Abandoned,1
365,11,8,2024-06-30,Normal,32.4,0,3,0,Abandoned,1
366,11,9,2024-05-20,Normal,44.7,1,1,0,Completed,1
367,11,10,2024-06-30,Normal,47.1,1,0,1,Completed,1
368,11,11,2024-06-22,Normal,16.2,0,3,0,Failed,1
369,11,12,2024-06-08,Normal,54.9,0,0,1,Failed,1
370,11,12,2024-05-26,Normal,40.2,0,5,0,Failed,2
371,11,13,2024-06-17,Normal,22.3,1,0,0,Completed,1
372,11,14,2024-06-30,Normal,28.4,1,0,0,Completed,1
373,11,15,2024-06-26,Normal,6.9,0,1,0,Abandoned,1
374,11,16,2024-06-17,Normal,24.7,1,0,1,Completed,1
375,11,17,2024-05-23,Normal,26.9,0,1,0,Failed,1
376,11,18,2024-06-22,Normal,37.3,1,3,0,Completed,1
377,11,19,2024-06-20,Normal,14.4,1,1,0,Completed,1
378,11,20,2024-06-20,Normal,25.6,1,0,0,Completed,1
379,11,21,2024-06-20,Normal,19.7,1,0,0,Completed,1
380,11,22,2024-06-28,Normal,19.0,1,0,0,Completed,1
381,11,23,2024-06-21,Normal,10.4,1,0,0,Completed,1
382,11,24,2024-05-22,Normal,17.1,1,2,0,Completed,1
383,11,25,2024-06-18,Normal,23.5,1,0,0,Completed,1
384,11,26,2024-06-28,Normal,19.3,1,0,0,Completed,1
385,11,27,2024-06-04,Normal,15.1,1,4,0,Completed,1
386,11,28,2024-06-08,Normal,22.5,1,3,0,Completed,1
387,11,29,2024-05-19,Normal,29.9,1,3,1,Completed,1
388,11,30,2024-06-24,Normal,17.0,1,3,0,Completed,1
389,11,31,2024-06-13,Normal,11.3,1,0,0,Completed,1
390,11,32,2024-05-22,Normal,15.0,1,7,0,Completed,1
391,11,32,2024-06-03,Normal,5.8,0,0,0,Abandoned,2
392,11,33,2024-06-24,Normal,3.0,0,0,0,Abandoned,1
393,11,34,2024-06-10,Normal,15.4,1,0,0,Completed,1
394,11,35,2024-05-24,Normal,11.4,1,0,1,Completed,1
395,12,1,2024-05-29,Normal,25.4,1,0,1,Completed,1
396,12,2,2024-04-29,Normal,33.8,1,2,1,Completed,1
397,12,3,2024-05-02,Normal,48.3,1,0,1,Completed,1
398,12,4,2024-06-23,Normal,47.5,1,5,1,Completed,1
399,12,4,2024-04-29,Normal,56.1,1,0,1,Completed,2
400,12,5,2024-06-24,Normal,61.4,1,1,1,Completed,1
401,12,6,2024-05-20,Normal,39.7,1,0,1,Completed,1
402,12,7,2024-06-04,Normal,37.9,1,0,1,Completed,1
403,12,8,2024-06-14,Normal,39.6,0,5,1,Abandoned,1
404,12,9,2024-05-26,Normal,23.3,0,14,0,Failed,1
405,12,9,2024-04-27,Normal,44.4,1,1,0,Completed,2
406,12,10,2024-05-23,Normal,36.5,1,2,1,Completed,1
407,12,10,2024-06-21,Normal,48.2,1,6,0,Completed,2
408,12,11,2024-05-02,Normal,42.9,1,3,0,Completed,1
409,12,12,2024-06-23,Normal,49.0,0,6,1,Abandoned,1
410,12,13,2024-06-23,Normal,17.1,1,1,1,Completed,1
411,12,14,2024-06-19,Normal,6.9,0,0,1,Failed,1
412,12,15,2024-06-25,Normal,17.9,1,0,0,Completed,1
413,12,16,2024-06-28,Normal,11.5,0,0,1,Abandoned,1
414,12,17,2024-06-18,Normal,21.0,0,6,0,Abandoned,1
415,12,18,2024-05-31,Normal,36.7,1,1,1,Completed,1
